robot_x,robot_y,robot_z
0.263498,-0.507581,0x7ffdcec47480
0.263501,-0.507588,0x7ffdcec47480
0.263501,-0.507588,0x7ffdcec47480
0.263501,-0.507588,0x7ffdcec47480
0.26348,-0.507576,0x7ffdcec47480
0.26348,-0.507576,0x7ffdcec47480
0.263461,-0.507583,0x7ffdcec47480
0.263461,-0.507583,0x7ffdcec47480
0.263461,-0.507583,0x7ffdcec47480
0.263396,-0.507421,0x7ffdcec47480
0.263396,-0.507421,0x7ffdcec47480
0.263396,-0.507421,0x7ffdcec47480
0.263394,-0.507445,0x7ffdcec47480
0.263394,-0.507445,0x7ffdcec47480
0.263394,-0.507445,0x7ffdcec47480
0.263423,-0.507581,0x7ffdcec47480
0.263423,-0.507581,0x7ffdcec47480
0.263423,-0.507581,0x7ffdcec47480
0.263435,-0.507642,0x7ffdcec47480
0.263435,-0.507642,0x7ffdcec47480
0.263501,-0.507901,0x7ffdcec47480
0.263501,-0.507901,0x7ffdcec47480
0.263501,-0.507901,0x7ffdcec47480
0.263599,-0.508247,0x7ffdcec47480
0.263599,-0.508247,0x7ffdcec47480
0.263599,-0.508247,0x7ffdcec47480
0.263638,-0.508397,0x7ffdcec47480
0.263638,-0.508397,0x7ffdcec47480
0.263638,-0.508397,0x7ffdcec47480
0.263755,-0.508807,0x7ffdcec47480
0.263755,-0.508807,0x7ffdcec47480
0.263858,-0.509174,0x7ffdcec47480
0.263858,-0.509174,0x7ffdcec47480
0.263858,-0.509174,0x7ffdcec47480
0.263968,-0.509567,0x7ffdcec47480
0.263968,-0.509567,0x7ffdcec47480
0.263968,-0.509567,0x7ffdcec47480
0.263997,-0.509677,0x7ffdcec47480
0.263997,-0.509677,0x7ffdcec47480
0.263997,-0.509677,0x7ffdcec47480
0.264011,-0.509724,0x7ffdcec47480
0.264011,-0.509724,0x7ffdcec47480
0.26395,-0.509539,0x7ffdcec47480
0.26395,-0.509539,0x7ffdcec47480
0.26395,-0.509539,0x7ffdcec47480
0.263836,-0.509167,0x7ffdcec47480
0.263836,-0.509167,0x7ffdcec47480
0.263799,-0.50904,0x7ffdcec47480
0.263799,-0.50904,0x7ffdcec47480
0.263799,-0.50904,0x7ffdcec47480
0.263655,-0.508571,0x7ffdcec47480
0.263655,-0.508571,0x7ffdcec47480
0.263655,-0.508571,0x7ffdcec47480
0.263553,-0.508227,0x7ffdcec47480
0.263553,-0.508227,0x7ffdcec47480
0.263553,-0.508227,0x7ffdcec47480
0.263452,-0.507885,0x7ffdcec47480
0.263373,-0.507618,0x7ffdcec47480
0.263373,-0.507618,0x7ffdcec47480
0.26329,-0.507355,0x7ffdcec47480
0.26329,-0.507355,0x7ffdcec47480
0.26329,-0.507355,0x7ffdcec47480
0.263152,-0.506891,0x7ffdcec47480
0.263152,-0.506891,0x7ffdcec47480
0.263081,-0.506651,0x7ffdcec47480
0.26302,-0.506441,0x7ffdcec47480
0.26302,-0.506441,0x7ffdcec47480
0.262949,-0.50622,0x7ffdcec47480
0.262949,-0.50622,0x7ffdcec47480
0.262949,-0.50622,0x7ffdcec47480
0.262836,-0.505835,0x7ffdcec47480
0.262836,-0.505835,0x7ffdcec47480
0.262836,-0.505835,0x7ffdcec47480
0.262711,-0.505412,0x7ffdcec47480
0.262711,-0.505412,0x7ffdcec47480
0.262564,-0.504932,0x7ffdcec47480
0.262564,-0.504932,0x7ffdcec47480
0.262564,-0.504932,0x7ffdcec47480
0.262508,-0.504742,0x7ffdcec47480
0.262508,-0.504742,0x7ffdcec47480
0.262508,-0.504742,0x7ffdcec47480
0.262385,-0.504326,0x7ffdcec47480
0.262385,-0.504326,0x7ffdcec47480
0.262271,-0.503939,0x7ffdcec47480
0.262271,-0.503939,0x7ffdcec47480
0.262271,-0.503939,0x7ffdcec47480
0.262224,-0.503783,0x7ffdcec47480
0.262224,-0.503783,0x7ffdcec47480
0.262224,-0.503783,0x7ffdcec47480
